position,time_ms,distance
367,81.9906,239
368,81.7171,240
369,81.2366,241
370,82.5787,242
371,81.6142,243
372,81.8127,244
373,82.1202,245
374,80.8508,246
375,81.9726,247
376,81.707,248
377,82.2355,249
378,82.2292,250
379,80.772,251
380,82.4951,252
381,83.2518,253
382,81.0133,254
383,82.9308,255
384,81.4848,256
385,82.7377,257
386,80.8694,258
387,82.0723,259
388,81.3375,260
389,82.1414,261
390,82.5716,262
391,81.7656,263
392,83.1449,264
393,82.7687,265
394,80.8414,266
395,81.4345,267
396,82.405,268
397,81.8212,269
398,82.3393,270
399,81.642,271
400,81.1318,272
401,81.4803,273
402,81.7712,274
403,83.1628,275
404,80.9812,276
405,85.767,277
406,81.8738,278
407,82.1527,279
408,81.5299,280
409,82.5679,281
410,81.6035,282
411,83.1123,283
412,80.7451,284
413,82.418,285
414,82.4497,286
415,81.0834,287
416,82.1303,288
417,81.6999,289
418,81.1173,290
419,83.0735,291
420,81.5968,292
421,82.6755,293
422,81.6248,294
423,81.7121,295
424,82.6833,296
425,83.0733,297
426,82.4677,298
427,82.2775,299
428,82.5996,300
429,84.0674,301
430,82.9827,302
431,82.0007,303
432,81.9931,304
433,82.3485,305
434,82.9936,306
435,81.5667,307
436,82.3925,308
437,82.7364,309
438,82.6497,310
439,81.3028,311
440,82.7168,312
441,82.0862,313
442,82.8175,314
443,82.7476,315
444,81.5428,316
445,82.0868,317
446,83.462,318
447,81.1453,319
448,83.0811,320
449,82.3818,321
450,81.7608,322
451,82.5342,323
452,82.2731,324
453,82.723,325
454,81.9345,326
455,81.9704,327
456,83.1166,328
457,81.992,329
458,82.5035,330
459,82.2112,331
460,82.3208,332
461,82.5018,333
462,82.1841,334
463,82.7157,335
464,81.5708,336
465,82.1226,337
466,82.2512,338
467,81.6872,339
468,83.2198,340
469,82.3964,341
470,82.5424,342
471,83.0713,343
472,82.1351,344
473,82.069,345
474,81.5144,346
475,83.1182,347
476,82.3992,348
477,82.7735,349
478,81.6732,350
479,82.4801,351
480,81.6762,352
481,82.5746,353
482,82.1286,354
483,82.895,355
484,81.9413,356
485,82.3684,357
486,83.1176,358
487,84.098,359
488,81.4271,360
489,82.2639,361
490,81.941,362
491,81.4882,363
492,82.6689,364
493,83.2933,365
494,82.3418,366
495,82.924,367
496,81.8238,368
497,82.314,369
498,82.9178,370
499,82.486,371
500,81.9842,372
501,82.3501,373
502,82.5381,374
503,82.8576,375
504,82.0289,376
505,82.3309,377
506,82.577,378
507,82.8322,379
508,81.9769,380
509,81.9668,381
510,82.2508,382
511,82.2567,383
